Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Trans_Amt,Total_Trans_Ct,avg_spend,Education_Level,Card_Category
36.0,5,1.0,3263.0,1674,0.513,1251.0,35.0,35.74285714285714,High School,Blue
36.0,4,1.0,3174.0,1951,0.615,1243.0,29.0,42.86206896551724,Doctorate,Blue
41.0,4,3.0,3788.0,1540,0.407,1594.0,47.0,33.91489361702128,High School,Blue
36.0,5,1.0,2393.0,1985,0.83,978.0,19.0,51.473684210526315,Graduate,Blue
43.0,3,1.0,3710.0,2517,0.678,1578.0,34.0,46.411764705882355,Graduate,Blue
37.0,2,1.0,3235.0,797,0.246,1493.0,32.0,46.65625,Doctorate,Blue
24.0,4,1.0,9366.0,1104,0.118,1303.0,39.0,33.41025641025641,High School,Blue
47.0,4,2.0,2154.0,930,0.432,1439.0,26.0,55.34615384615385,College,Blue
36.0,3,3.0,2038.0,0,0.0,1238.0,28.0,44.214285714285715,Unknown,Blue
38.0,6,1.0,8135.0,0,0.0,1716.0,29.0,59.172413793103445,High School,Blue
38.0,6,1.0,9364.0,618,0.066,1099.0,27.0,40.7037037037037,Doctorate,Blue
41.0,6,5.0,3482.0,2114,0.607,1039.0,24.0,43.291666666666664,Unknown,Blue
40.0,5,2.0,3065.0,1570,0.512,1130.0,28.0,40.357142857142854,Uneducated,Blue
47.0,3,3.0,2822.0,2173,0.77,1218.0,23.0,52.95652173913044,Uneducated,Blue
47.0,5,2.0,1438.3,0,0.0,2184.0,53.0,41.20754716981132,High School,Blue
36.0,4,3.0,15875.0,1719,0.108,1592.0,37.0,43.027027027027025,Uneducated,Blue
45.0,6,3.0,6703.0,893,0.133,1388.0,28.0,49.57142857142857,High School,Blue
36.0,5,2.0,10400.0,1777,0.171,1105.0,28.0,39.464285714285715,Graduate,Blue
36.0,4,2.0,3356.0,985,0.294,999.0,28.0,35.67857142857143,Uneducated,Blue
34.0,3,2.0,5771.0,2248,0.39,1387.0,19.0,73.0,Uneducated,Blue
38.0,6,2.0,12860.0,0,0.0,1348.0,27.0,49.925925925925924,Uneducated,Blue
33.0,3,1.0,6278.0,462,0.074,1087.0,33.0,32.93939393939394,Post-Graduate,Blue
36.0,5,1.0,9355.0,1626,0.174,1230.0,28.0,43.92857142857143,High School,Blue
31.0,6,1.0,20758.0,0,0.0,1555.0,32.0,48.59375,Post-Graduate,Blue
41.0,3,3.0,21592.0,1676,0.078,1873.0,52.0,36.01923076923077,Doctorate,Blue
44.0,5,1.0,3449.0,1598,0.463,1679.0,42.0,39.976190476190474,Post-Graduate,Blue
36.0,3,2.0,18214.0,1998,0.11,1344.0,21.0,64.0,High School,Blue
43.0,3,3.0,16393.0,1423,0.087,1461.0,42.0,34.785714285714285,Uneducated,Blue
52.0,1,3.0,1438.3,900,0.626,882.09,21.0,42.004285714285714,High School,Blue
36.0,4,1.0,7871.0,1687,0.214,1428.0,22.0,64.9090909090909,College,Blue
36.0,5,3.0,5288.0,866,0.164,1777.0,42.0,42.30952380952381,Unknown,Blue
33.0,3,2.0,34516.0,1679,0.049,1060.0,27.0,39.25925925925926,Graduate,Silver
43.0,2,4.0,1438.3,0,0.0,886.0,27.0,32.81481481481482,Graduate,Blue
55.0,2,1.0,2619.0,1779,0.679,1450.0,37.0,39.189189189189186,Graduate,Blue
47.0,5,3.0,11086.0,2207,0.199,1523.0,40.0,38.075,Graduate,Blue
36.0,4,2.0,11432.0,2517,0.22,1374.0,37.0,37.13513513513514,High School,Blue
36.0,3,2.0,2571.0,1955,0.76,1234.0,24.0,51.416666666666664,College,Blue
30.0,5,1.0,7872.0,2509,0.319,1155.0,32.0,36.09375,Unknown,Blue
35.0,6,1.0,34516.0,1202,0.035,1353.0,33.0,41.0,High School,Blue
43.0,2,1.0,1857.0,1603,0.863,1590.0,43.0,36.97674418604651,Unknown,Blue
39.0,6,2.0,2115.0,1141,0.539,1223.0,20.0,61.15,Graduate,Blue
34.0,6,4.0,13878.0,2222,0.16,1658.0,38.0,43.63157894736842,Uneducated,Silver
50.0,4,4.0,1438.3,1025,0.713,882.09,19.0,46.42578947368421,Uneducated,Blue
29.0,5,2.0,5207.0,1748,0.336,1310.0,26.0,50.38461538461539,Graduate,Blue
37.0,6,3.0,2733.0,1819,0.666,933.0,25.0,37.32,College,Blue
48.0,4,3.0,8863.0,1301,0.147,1512.0,27.0,56.0,College,Blue
30.0,3,3.0,2442.0,0,0.0,882.09,19.0,46.42578947368421,High School,Blue
46.0,6,3.0,2910.0,709,0.244,1192.0,27.0,44.148148148148145,Unknown,Blue
36.0,4,1.0,22322.0,953,0.043,1348.0,34.0,39.64705882352941,Unknown,Blue
35.0,2,3.0,3540.0,849,0.24,1321.0,28.0,47.17857142857143,Uneducated,Blue
36.0,2,3.0,2474.0,2143,0.866,1541.0,40.0,38.525,Unknown,Blue
25.0,2,2.0,9512.0,1082,0.114,1007.0,22.0,45.77272727272727,Unknown,Blue
43.0,6,1.0,5279.0,1115,0.211,1642.0,41.0,40.048780487804876,Unknown,Blue
31.0,2,2.0,2410.0,1769,0.734,1217.0,30.0,40.56666666666667,Uneducated,Blue
48.0,2,1.0,5362.0,1274,0.238,1876.0,41.0,45.75609756097561,Uneducated,Blue
40.0,6,2.0,2532.0,2221,0.877,882.09,21.0,42.004285714285714,Graduate,Blue
46.0,2,2.0,1900.0,1376,0.724,1881.0,45.0,41.8,Doctorate,Blue
37.0,2,3.0,14546.0,1703,0.117,1273.0,27.0,47.148148148148145,Graduate,Blue
36.0,3,4.0,16427.0,1682,0.102,1579.0,36.0,43.861111111111114,Doctorate,Blue
36.0,5,1.0,13068.0,1718,0.131,937.0,28.0,33.464285714285715,Graduate,Blue
37.0,6,3.0,5731.0,1577,0.275,1554.0,26.0,59.76923076923077,Post-Graduate,Blue
33.0,2,2.0,34516.0,2061,0.06,1350.0,32.0,42.1875,College,Gold
24.0,4,1.0,15439.0,0,0.0,2069.0,43.0,48.116279069767444,High School,Blue
36.0,6,3.0,21637.0,2030,0.094,1222.0,23.0,53.130434782608695,Graduate,Blue
36.0,2,2.0,5007.0,930,0.186,1050.0,28.0,37.5,High School,Blue
40.0,5,2.0,19116.0,0,0.0,1184.0,29.0,40.827586206896555,Uneducated,Blue
38.0,2,3.0,8249.0,1381,0.167,882.09,19.0,46.42578947368421,Graduate,Blue
31.0,2,3.0,14041.0,2154,0.153,1467.0,29.0,50.58620689655172,Graduate,Blue
43.0,5,3.0,5264.0,2169,0.412,1219.0,27.0,45.148148148148145,High School,Blue
37.0,3,2.0,34516.0,0,0.0,1122.0,19.0,59.05263157894737,Graduate,Silver
35.0,3,3.0,3025.0,2376,0.785,1277.0,23.0,55.52173913043478,Uneducated,Blue
36.0,3,3.0,2293.0,1823,0.795,1166.0,22.0,53.0,Post-Graduate,Blue
38.0,4,3.0,4317.0,2517,0.583,1619.0,36.0,44.97222222222222,Unknown,Blue
29.0,5,2.0,3378.0,1069,0.316,1285.0,19.0,67.63157894736842,Graduate,Blue
31.0,5,3.0,34516.0,1699,0.049,1628.0,38.0,42.8421052631579,Graduate,Silver
44.0,6,3.0,7819.0,1560,0.2,1582.0,25.0,63.28,Uneducated,Blue
39.0,3,2.0,34516.0,0,0.0,1106.0,31.0,35.67741935483871,Graduate,Blue
47.0,6,1.0,2609.0,2439,0.9132300000000001,1731.0,34.0,50.911764705882355,High School,Blue
50.0,5,1.0,3791.0,1648,0.435,2058.0,34.0,60.529411764705884,Uneducated,Blue
39.0,6,2.0,10741.0,755,0.07,1278.0,22.0,58.09090909090909,Graduate,Blue
32.0,3,2.0,18584.0,2517,0.135,1330.0,34.0,39.11764705882353,Uneducated,Blue
55.0,4,1.0,5585.0,1465,0.262,1787.0,31.0,57.645161290322584,Graduate,Blue
24.0,5,1.0,2478.0,2031,0.82,1558.0,31.0,50.25806451612903,Graduate,Blue
44.0,6,2.0,2339.0,1440,0.616,893.0,22.0,40.59090909090909,Graduate,Blue
39.0,3,3.0,14881.0,848,0.057,1408.0,23.0,61.21739130434783,Unknown,Blue
36.0,6,3.0,1628.0,969,0.595,1893.0,19.0,99.63157894736842,Graduate,Blue
41.0,5,3.0,4745.0,1270,0.268,1519.0,31.0,49.0,Graduate,Blue
36.0,3,3.0,22720.0,793,0.035,1102.0,27.0,40.81481481481482,Uneducated,Blue
43.0,4,2.0,2569.0,1403,0.546,1456.0,39.0,37.333333333333336,High School,Blue
44.0,6,3.0,18206.0,1586,0.087,1439.0,48.0,29.979166666666668,Post-Graduate,Blue
34.0,6,3.0,3104.0,1766,0.569,1353.0,24.0,56.375,High School,Blue
41.0,5,3.0,2406.0,1560,0.648,1173.0,32.0,36.65625,Graduate,Blue
36.0,5,2.0,24571.0,1955,0.08,1746.0,28.0,62.357142857142854,Uneducated,Blue
33.0,4,2.0,12301.0,2250,0.183,1307.0,29.0,45.06896551724138,Graduate,Silver
36.0,4,3.0,7231.0,2381,0.329,1421.0,23.0,61.78260869565217,High School,Blue
30.0,2,5.0,5639.0,1547,0.274,882.09,19.0,46.42578947368421,Post-Graduate,Blue
46.0,3,3.0,10021.0,1617,0.161,1275.0,25.0,51.0,Graduate,Blue
44.0,3,2.0,2027.0,1480,0.73,1702.0,37.0,46.0,Graduate,Blue
47.0,6,2.0,6363.0,1162,0.183,1256.0,26.0,48.30769230769231,Graduate,Blue
25.0,6,1.0,3920.0,2008,0.512,3178.0,53.0,59.9622641509434,College,Blue
49.0,5,3.0,3805.0,2233,0.587,1743.0,27.0,64.55555555555556,High School,Blue
37.0,5,2.0,2733.0,1306,0.478,1139.0,39.0,29.205128205128204,Uneducated,Blue
36.0,6,5.0,29963.0,2094,0.07,1205.0,28.0,43.035714285714285,High School,Blue
31.0,5,2.0,34516.0,1254,0.036,1366.0,25.0,54.64,College,Silver
47.0,5,3.0,6347.0,0,0.0,1161.0,44.0,26.386363636363637,Graduate,Blue
35.0,6,3.0,13048.0,1954,0.15,1170.0,24.0,48.75,Post-Graduate,Blue
38.0,3,2.0,8077.0,1965,0.243,1329.0,26.0,51.11538461538461,Post-Graduate,Blue
36.0,3,3.0,8645.0,1454,0.168,1435.0,25.0,57.4,Uneducated,Blue
30.0,6,1.0,29801.0,1916,0.064,990.0,21.0,47.142857142857146,High School,Blue
25.0,3,1.0,4789.0,1257,0.262,1534.0,29.0,52.89655172413793,Unknown,Blue
34.0,4,2.0,23138.0,1727,0.075,1612.0,39.0,41.333333333333336,Doctorate,Blue
36.0,3,1.0,3131.0,2517,0.804,1439.0,40.0,35.975,Unknown,Blue
41.0,3,2.0,34516.0,1531,0.044,1156.0,29.0,39.86206896551724,Graduate,Platinum
44.0,3,3.0,4589.0,0,0.0,1590.0,37.0,42.972972972972975,Graduate,Blue
45.0,1,1.0,1981.0,1518,0.766,973.0,25.0,38.92,Uneducated,Blue
32.0,5,3.0,14910.0,877,0.059,1150.0,26.0,44.23076923076923,Unknown,Blue
42.0,3,3.0,4320.0,0,0.0,882.09,21.0,42.004285714285714,Graduate,Blue
36.0,1,3.0,4503.0,0,0.0,882.09,20.0,44.1045,Uneducated,Blue
36.0,6,2.0,29770.0,1565,0.053,1774.0,42.0,42.23809523809524,Uneducated,Blue
28.0,5,1.0,5014.0,1910,0.381,1209.0,25.0,48.36,Post-Graduate,Blue
44.0,4,2.0,23090.0,839,0.036,1198.0,24.0,49.916666666666664,Graduate,Blue
30.0,6,3.0,18578.0,1385,0.075,1606.0,54.0,29.74074074074074,Unknown,Blue
37.0,3,3.0,2783.0,1526,0.548,1909.0,54.0,35.351851851851855,Graduate,Blue
36.0,6,3.0,34516.0,1597,0.046,1628.0,51.0,31.92156862745098,Uneducated,Blue
29.0,5,2.0,4394.0,885,0.201,1377.0,32.0,43.03125,Graduate,Blue
35.0,4,3.0,18325.0,723,0.039,1517.0,33.0,45.96969696969697,Graduate,Blue
40.0,4,1.0,1919.0,774,0.403,1505.0,33.0,45.60606060606061,High School,Blue
35.0,3,2.0,11910.0,2098,0.176,1646.0,39.0,42.205128205128204,Graduate,Blue
36.0,3,3.0,2947.0,2216,0.752,1744.0,53.0,32.905660377358494,Graduate,Blue
48.0,5,3.0,3140.0,1985,0.632,1626.0,41.0,39.65853658536585,High School,Blue
31.0,4,2.0,2375.0,1658,0.698,1071.0,28.0,38.25,Graduate,Blue
45.0,3,2.0,3228.0,2517,0.78,1349.0,33.0,40.878787878787875,Graduate,Blue
41.0,6,1.0,20231.0,977,0.048,1215.0,36.0,33.75,Graduate,Silver
15.0,6,3.0,2585.0,2019,0.781,2644.0,40.0,66.1,Graduate,Blue
47.0,3,3.0,12151.0,1799,0.148,918.0,19.0,48.31578947368421,College,Blue
28.0,4,1.0,10021.0,1203,0.12,1463.0,40.0,36.575,Graduate,Blue
40.0,3,2.0,3117.0,1603,0.514,1437.0,37.0,38.83783783783784,Graduate,Blue
32.0,3,1.0,12804.0,2517,0.197,1101.0,37.0,29.756756756756758,High School,Blue
48.0,6,1.0,4930.0,2259,0.458,2194.0,53.0,41.39622641509434,Post-Graduate,Blue
28.0,4,2.0,23981.0,1788,0.075,1421.0,34.0,41.794117647058826,Unknown,Gold
29.0,4,3.0,19324.0,1040,0.054,1744.0,50.0,34.88,College,Blue
34.0,5,3.0,5331.0,1993,0.374,1766.0,39.0,45.282051282051285,Graduate,Blue
30.0,6,2.0,17625.0,894,0.051,1773.0,39.0,45.46153846153846,Graduate,Blue
53.0,5,3.0,2402.0,1728,0.719,1650.0,53.0,31.132075471698112,Uneducated,Blue
48.0,4,2.0,1638.0,0,0.0,1536.0,44.0,34.90909090909091,Graduate,Blue
38.0,3,3.0,4335.0,2480,0.572,1373.0,36.0,38.138888888888886,Graduate,Blue
24.0,4,2.0,34516.0,1938,0.056,1215.0,45.0,27.0,Uneducated,Silver
36.0,4,2.0,24869.0,1729,0.07,1409.0,36.0,39.138888888888886,College,Blue
28.0,6,2.0,11338.0,0,0.0,1227.0,24.0,51.125,Graduate,Blue
43.0,6,2.0,2927.0,1412,0.482,1474.0,26.0,56.69230769230769,High School,Blue
49.0,1,2.0,5472.0,788,0.144,882.09,19.0,46.42578947368421,Unknown,Blue
45.0,4,3.0,5406.0,1782,0.33,1407.0,29.0,48.51724137931034,Unknown,Blue
44.0,5,1.0,34516.0,2174,0.063,1616.0,50.0,32.32,Graduate,Blue
36.0,6,2.0,1976.0,1311,0.663,1498.0,43.0,34.83720930232558,Graduate,Blue
40.0,3,1.0,8714.0,2252,0.258,1536.0,38.0,40.421052631578945,Uneducated,Blue
33.0,6,5.0,7717.0,1430,0.185,1248.0,37.0,33.729729729729726,High School,Blue
38.0,3,4.0,4908.0,0,0.0,882.09,21.0,42.004285714285714,Uneducated,Blue
44.0,3,2.0,2323.0,0,0.0,882.09,19.0,46.42578947368421,Uneducated,Blue
22.0,3,3.0,4048.0,1113,0.275,1757.0,45.0,39.044444444444444,Uneducated,Blue
41.0,5,2.0,15897.0,1437,0.09,1405.0,43.0,32.674418604651166,High School,Blue
36.0,4,1.0,1438.3,479,0.333,1786.0,37.0,48.270270270270274,College,Blue
33.0,6,3.0,8628.0,1077,0.125,1675.0,58.0,28.879310344827587,Graduate,Blue
44.0,4,3.0,18750.0,1705,0.091,1200.0,36.0,33.333333333333336,College,Blue
25.0,6,3.0,3083.0,1040,0.337,4311.0,78.0,55.26923076923077,College,Blue
40.0,5,1.0,12240.0,1566,0.128,1422.0,26.0,54.69230769230769,Graduate,Blue
24.0,3,1.0,3124.0,1593,0.51,1652.0,41.0,40.292682926829265,Graduate,Blue
32.0,6,2.0,11477.0,0,0.0,1260.0,27.0,46.666666666666664,Graduate,Blue
50.0,3,3.0,8022.0,1372,0.171,1794.0,31.0,57.87096774193548,Graduate,Blue
48.0,3,3.0,30271.0,1406,0.046,3231.0,47.0,68.74468085106383,Graduate,Blue
39.0,5,2.0,4734.0,954,0.202,1570.0,45.0,34.888888888888886,Post-Graduate,Blue
45.0,3,1.0,1438.3,306,0.213,882.09,19.0,46.42578947368421,Graduate,Blue
34.0,3,1.0,34516.0,1578,0.046,1929.0,40.0,48.225,Post-Graduate,Platinum
36.0,5,1.0,7151.0,800,0.112,882.09,22.0,40.095,Unknown,Blue
55.0,3,3.0,2122.0,554,0.261,949.0,19.0,49.94736842105263,Graduate,Blue
47.0,6,4.0,16320.0,0,0.0,1279.0,41.0,31.195121951219512,Graduate,Blue
31.0,5,2.0,2684.0,1381,0.515,2002.0,60.0,33.36666666666667,Unknown,Blue
36.0,4,3.0,34516.0,2517,0.073,1475.0,33.0,44.696969696969695,Graduate,Blue
46.0,4,2.0,2081.0,1235,0.593,1337.0,29.0,46.10344827586207,Unknown,Blue
47.0,3,2.0,2848.0,1468,0.515,1135.0,27.0,42.03703703703704,Uneducated,Blue
48.0,6,1.0,3428.0,1566,0.457,1155.0,34.0,33.970588235294116,Uneducated,Blue
35.0,3,1.0,2448.0,1693,0.692,1269.0,30.0,42.3,College,Blue
36.0,4,2.0,19354.0,984,0.051,1207.0,32.0,37.71875,Uneducated,Blue
30.0,5,3.0,2578.0,2517,0.9132300000000001,1830.0,64.0,28.59375,Graduate,Blue
35.0,4,3.0,3636.0,1010,0.278,1564.0,59.0,26.508474576271187,College,Blue
36.0,5,1.0,2072.0,1543,0.745,1265.0,32.0,39.53125,High School,Blue
45.0,4,2.0,2494.0,1639,0.657,1555.0,39.0,39.87179487179487,Unknown,Blue
51.0,3,2.0,5450.0,967,0.177,1526.0,45.0,33.91111111111111,Graduate,Blue
23.0,4,1.0,18226.0,1847,0.101,1681.0,43.0,39.093023255813954,College,Blue
45.0,5,3.0,12248.0,0,0.0,882.09,25.0,35.2836,Unknown,Blue
28.0,4,3.0,19843.0,1178,0.059,1638.0,49.0,33.42857142857143,Uneducated,Blue
41.0,4,2.0,33864.0,989,0.029,1751.0,48.0,36.479166666666664,Doctorate,Blue
26.0,3,1.0,4531.0,1214,0.268,1414.0,40.0,35.35,Graduate,Blue
23.0,6,2.0,7706.0,392,0.051,965.0,27.0,35.74074074074074,College,Blue
24.0,4,3.0,3770.0,1197,0.318,1602.0,49.0,32.69387755102041,College,Blue
36.0,4,3.0,6976.0,0,0.0,1217.0,39.0,31.205128205128204,High School,Blue
36.0,4,3.0,21134.0,1508,0.071,1556.0,35.0,44.457142857142856,High School,Blue
34.0,3,2.0,34516.0,668,0.019,1698.0,67.0,25.34328358208955,College,Blue
28.0,3,1.0,2421.0,1747,0.722,1346.0,30.0,44.86666666666667,Graduate,Blue
24.0,2,3.0,14447.0,0,0.0,915.0,29.0,31.551724137931036,Uneducated,Blue
36.0,4,2.0,2964.0,2400,0.81,1557.0,25.0,62.28,Unknown,Blue
36.0,4,1.0,6407.0,1884,0.294,1675.0,47.0,35.638297872340424,High School,Blue
15.0,6,2.0,4158.0,1635,0.393,1678.0,37.0,45.351351351351354,High School,Blue
36.0,3,1.0,30883.0,1694,0.055,1267.0,23.0,55.08695652173913,Doctorate,Blue
37.0,3,3.0,8520.0,814,0.096,1193.0,35.0,34.08571428571429,Uneducated,Blue
50.0,4,2.0,2872.0,2035,0.709,1770.0,47.0,37.659574468085104,Graduate,Blue
36.0,5,1.0,9697.0,0,0.0,1812.0,50.0,36.24,Unknown,Blue
21.0,3,3.0,2967.0,1843,0.621,1673.0,58.0,28.844827586206897,High School,Blue
36.0,5,2.0,18085.0,1487,0.082,1582.0,47.0,33.659574468085104,Unknown,Blue
32.0,6,3.0,2524.0,1395,0.553,1800.0,33.0,54.54545454545455,Unknown,Blue
23.0,6,2.0,2410.0,1705,0.707,2505.0,69.0,36.30434782608695,Post-Graduate,Blue
53.0,4,3.0,4315.0,717,0.166,1723.0,51.0,33.78431372549019,High School,Blue
49.0,5,3.0,5476.0,2517,0.46,1532.0,44.0,34.81818181818182,Unknown,Blue
36.0,4,2.0,8013.0,2025,0.253,1481.0,45.0,32.91111111111111,High School,Blue
17.0,3,3.0,7906.0,1631,0.206,1946.0,45.0,43.24444444444445,High School,Blue
19.0,4,1.0,13632.0,1482,0.109,2168.0,42.0,51.61904761904762,Post-Graduate,Blue
40.0,4,1.0,5158.0,2190,0.425,1229.0,34.0,36.14705882352941,High School,Blue
41.0,6,2.0,23271.0,1262,0.054,1402.0,34.0,41.23529411764706,Uneducated,Blue
36.0,2,3.0,10244.0,861,0.084,1127.0,29.0,38.86206896551724,Graduate,Blue
36.0,2,3.0,9457.0,350,0.037,1196.0,28.0,42.714285714285715,High School,Blue
35.0,4,5.0,6218.0,2134,0.343,2086.0,50.0,41.72,Uneducated,Blue
43.0,6,3.0,6224.0,1892,0.304,2187.0,58.0,37.706896551724135,Graduate,Blue
36.0,5,3.0,3093.0,2517,0.814,1371.0,23.0,59.608695652173914,High School,Blue
42.0,4,3.0,4076.0,0,0.0,1235.0,37.0,33.37837837837838,Graduate,Blue
36.0,3,2.0,4861.0,1123,0.231,1556.0,40.0,38.9,Graduate,Blue
36.0,6,3.0,9851.0,0,0.0,1212.0,24.0,50.5,Graduate,Blue
36.0,4,3.0,17023.0,1084,0.064,1610.0,43.0,37.44186046511628,Graduate,Blue
24.0,6,2.0,10060.0,2322,0.231,2184.0,63.0,34.666666666666664,Unknown,Blue
41.0,6,1.0,1595.0,870,0.545,1745.0,41.0,42.5609756097561,Unknown,Blue
25.0,6,3.0,5559.0,658,0.118,1793.0,37.0,48.45945945945946,College,Blue
28.0,2,2.0,8551.0,1067,0.125,1097.0,32.0,34.28125,Graduate,Blue
36.0,6,2.0,10569.0,0,0.0,1682.0,44.0,38.22727272727273,High School,Blue
46.0,3,2.0,10117.0,2242,0.222,1509.0,44.0,34.29545454545455,College,Blue
25.0,6,2.0,1438.3,674,0.469,1717.0,31.0,55.38709677419355,Unknown,Blue
22.0,3,1.0,3214.0,2257,0.702,2516.0,42.0,59.904761904761905,College,Blue
24.0,5,3.0,8837.0,2103,0.238,3753.0,60.0,62.55,Uneducated,Blue
49.0,3,1.0,5269.0,1099,0.209,2195.0,63.0,34.84126984126984,Graduate,Blue
35.0,4,3.0,7410.0,2517,0.34,2398.0,37.0,64.8108108108108,College,Blue
33.0,6,1.0,13770.0,2517,0.183,1582.0,36.0,43.94444444444444,Graduate,Blue
35.0,3,3.0,2514.0,1521,0.605,1636.0,36.0,45.44444444444444,Graduate,Blue
36.0,1,3.0,8663.0,288,0.033,916.0,33.0,27.757575757575758,High School,Blue
36.0,5,3.0,2333.0,1485,0.637,1198.0,31.0,38.645161290322584,High School,Blue
26.0,5,5.0,3038.0,1539,0.507,2189.0,54.0,40.53703703703704,Graduate,Blue
45.0,2,1.0,8512.0,0,0.0,882.09,27.0,32.67,High School,Blue
36.0,3,2.0,15405.0,1691,0.11,1763.0,44.0,40.06818181818182,Graduate,Blue
40.0,3,2.0,3556.0,2172,0.611,1221.0,41.0,29.78048780487805,High School,Blue
35.0,3,2.0,9149.0,1566,0.171,1790.0,60.0,29.833333333333332,Uneducated,Blue
19.0,4,1.0,1438.3,0,0.0,2005.0,47.0,42.659574468085104,Graduate,Blue
44.0,5,2.0,14825.0,962,0.065,1904.0,49.0,38.857142857142854,Graduate,Blue
45.0,5,1.0,2929.0,2431,0.83,1903.0,39.0,48.794871794871796,College,Blue
24.0,5,2.0,3735.0,1176,0.315,1564.0,41.0,38.146341463414636,High School,Blue
32.0,5,2.0,22120.0,1805,0.082,3981.0,65.0,61.246153846153845,College,Blue
47.0,3,2.0,1759.0,0,0.0,882.09,19.0,46.42578947368421,High School,Blue
36.0,3,3.0,4829.0,2418,0.501,938.0,21.0,44.666666666666664,Graduate,Blue
19.0,6,1.0,2834.0,1418,0.5,1598.0,39.0,40.97435897435897,Graduate,Blue
36.0,4,3.0,20614.0,0,0.0,1922.0,48.0,40.041666666666664,Unknown,Blue
36.0,3,1.0,3128.0,2517,0.805,2361.0,42.0,56.214285714285715,Doctorate,Blue
36.0,4,3.0,3460.0,2517,0.727,1752.0,34.0,51.529411764705884,High School,Blue
33.0,4,2.0,4589.0,1240,0.27,1637.0,61.0,26.83606557377049,College,Blue
39.0,4,3.0,24880.0,836,0.034,1208.0,25.0,48.32,High School,Blue
30.0,4,4.0,3417.0,2517,0.737,1641.0,32.0,51.28125,College,Blue
